;;;;;;;;;;;;;CAFÉ 1 KM;;;;;;;;FLORESTA 1KM;;;;;;;OUTRAS CULTURAS 1 KM;;;;;;;;;;;;;;;;;CAFÉ 2 KM;;;;;;;;FLORESTA 2KM;;;;;;;OUTRAS CULTURAS 2 KM;;;;;;;;;;;;;;;;;;CAFÉ 3 KM;;;;;;;;FLORESTA 3 KM;;;;;;;;;;;;;;;;;;;;;;
codigo;tratamentos;area;REP;COL;S;N;H;P;PRED;INF;UR;T;D_EV1;C1_LP;C1_LC  ;C1_EL ;C1_NP;C1_GP ;C1_SP ;C1_OC ;F1_LP;F1_LC;F1_EL;F1_NP;F1_GP;F1_SP;F1_OC;Fsa1_LC ;FCa1_LC ;S1_LC ;P1_LC ;MU1_LC ;NVeg1_LC ;So1_LC ;LT1_LC;Cit1_LC ;LP1_LC; d'Agua1_LC;AU1_LC;Rio1_LC;ROC1_LC; NA_1;AZ_1;TOTAL;D_EV2;C1_LP;C1_LC  ;C1_EL ;C1_NP;C1_GP ;C1_SP ;C1_OC ;F1_LP;F1_LC;F1_EL;F1_NP;F1_GP;F1_SP;F1_OC;Fsa2_LC ;FCa2_LC ;S2_LC ;P2_LC ;MU2_LC ;NVeg2_LC;So2_LC;LT2_LC ;LP2_LC ;Cit2_LC ;d'Agua2_LC;CAl2_LC;AU2_LC;Rio2_LC;ROC2_LC;NA_2;AZ_2;TOTAL;D_EV3;C3_LP;C3_LC;C3_EL;C3_NP;C3_GP;C3_SP;C3_OC;F3_LP;F3_LC;F3_EL;F3_NP;F3_GP;F3_SP;F3_OC;Fsa3_LC ;S3_LC ;FCa3_LC ;CAl3_LC ;P3_LC ;MU3_LC ;NVeg3_LC;So3_LC;LT3_LC ;LP3_LC;Cit3_LC;Rio3_LC;AU3_LC ;NA_3;AZ_3;TOTAL
C3a3;SESSENTA ;C3a;3;A;12;19;2,333;0,214285714;58,46153846;40,76923077;78;23,6;0,710934526;0,568831863;56,8831863;32880;3;1890000;900;1053000;0,159315691;15,9315691;18240;14;252900;900;146700;0,40096231;0,374231489;0;2,004811548;18,6581128;0,989040364;0;4,758086073;0;0;0;0;0;0;16,71;83,29;100,00;0,74096887;0,448250632;44,8250632;109860;22;3692700;1800;3286800;0,136291074;13,62910736;63600;39;361800;1800;450900;0,219502461;0,844751896;0,372489025;10,11706798;25,47558867;0,372489025;0;4,037514966;0,0066516;0,099773846;0;0;0;0;0;14,69336171;85,30663831;100;0,748461053;0,434414127;43,44141271;219540;45;5689800;900;7612200;0,117056461;11,70564611;127260;74;361800;900;760500;0,301204819;0,236239074;1,886959603;0;11,98322703;26,34360973;0,301204819;0;3,735530357;0,020670919;0,044294826;0;0;13,89381054;86,10618946;100
C3a4;SESSENTA ;C3a;4;A;16;17;2,752;0,214285714;58,46153846;40,76923077;78;23,6;0,710934526;0,568831863;56,8831863;32880;3;1890000;900;1053000;0,159315691;15,9315691;18240;14;252900;900;146700;0,40096231;0,374231489;0;2,004811548;18,6581128;0,989040364;0;4,758086073;0;0;0;0;0;0;16,71;83,29;100,00;0,74096887;0,448250632;44,8250632;109860;22;3692700;1800;3286800;0,136291074;13,62910736;63600;39;361800;1800;450900;0,219502461;0,844751896;0,372489025;10,11706798;25,47558867;0,372489025;0;4,037514966;0,0066516;0,099773846;0;0;0;0;0;14,69336171;85,30663831;100;0,748461053;0,434414127;43,44141271;219540;45;5689800;900;7612200;0,117056461;11,70564611;127260;74;361800;900;760500;0,301204819;0,236239074;1,886959603;0;11,98322703;26,34360973;0,301204819;0;3,735530357;0,020670919;0,044294826;0;0;13,89381054;86,10618946;100
C3b1;SESSENTA ;C3b;1;B;8;11;2,02;0,266666667;52;48;82,9;22,3;0,652518524;0,748331999;74,83319989;27300;1;2523600;2523600;1784700;0,069655725;6,965572458;8880;8;81000;3600;63900;0;0;0,507072325;5,417667467;10,30157459;0;0;1,974913264;0;0;0;0;0;0;6,97;93,03;100,00;0,654043673;0,544511668;54,45116681;113520;14;5833800;900;4387500;0,132238548;13,2238548;54240;38;531000;900;668700;0,046539459;0,126321388;0,538528023;7,878465528;19,49338475;0,325776212;0,106375906;3,689914234;0;0;0,119672894;0;0;0;0;13,51638854;86,48361146;100;0,652499758;0,494418522;49,4419;229080;31;9129600;900;8950500;0,117092907;11,7093;120420;94;531900;900;1071000;0,1181265;0,3839112;0,2303467;0;11,2042998;23,377237;0,3691454;0,2155809;2,4717973;0,006;0;0,4725061;0;12,5302793;87,4698716;100,0001509
C3b2;SESSENTA ;C3b;2;B;4;4;1,386;0,266666667;52;48;82,9;22,3;0,652518524;0,748331999;74,83319989;27300;1;2523600;2523600;1784700;0,069655725;6,965572458;8880;8;81000;3600;63900;0;0;0,507072325;5,417667467;10,30157459;0;0;1,974913264;0;0;0;0;0;0;6,97;93,03;100,00;0,654043673;0,544511668;54,45116681;113520;14;5833800;900;4387500;0,132238548;13,2238548;54240;38;531000;900;668700;0,046539459;0,126321388;0,538528023;7,878465528;19,49338475;0,325776212;0,106375906;3,689914234;0;0;0,119672894;0;0;0;0;13,51638854;86,48361146;100;0,652499758;0,494418522;49,4419;229080;31;9129600;900;8950500;0,117092907;11,7093;120420;94;531900;900;1071000;0,1181265;0,3839112;0,2303467;0;11,2042998;23,377237;0,3691454;0,2155809;2,4717973;0,006;0;0,4725061;0;12,5302793;87,4698716;100,0001509
C3b3;SESSENTA ;C3b;3;B;3;3;1,099;0,266666667;52;48;82,9;22,3;0,652518524;0,748331999;74,83319989;27300;1;2523600;2523600;1784700;0,069655725;6,965572458;8880;8;81000;3600;63900;0;0;0,507072325;5,417667467;10,30157459;0;0;1,974913264;0;0;0;0;0;0;6,97;93,03;100,00;0,654043673;0,544511668;54,45116681;113520;14;5833800;900;4387500;0,132238548;13,2238548;54240;38;531000;900;668700;0,046539459;0,126321388;0,538528023;7,878465528;19,49338475;0,325776212;0,106375906;3,689914234;0;0;0,119672894;0;0;0;0;13,51638854;86,48361146;100;0,652499758;0,494418522;49,4419;229080;31;9129600;900;8950500;0,117092907;11,7093;120420;94;531900;900;1071000;0,1181265;0,3839112;0,2303467;0;11,2042998;23,377237;0,3691454;0,2155809;2,4717973;0,006;0;0,4725061;0;12,5302793;87,4698716;100,0001509
C3b4;SESSENTA ;C3b;4;B;6;6;1,792;0,266666667;52;48;82,9;22,3;0,652518524;0,748331999;74,83319989;27300;1;2523600;2523600;1784700;0,069655725;6,965572458;8880;8;81000;3600;63900;0;0;0,507072325;5,417667467;10,30157459;0;0;1,974913264;0;0;0;0;0;0;6,97;93,03;100,00;0,654043673;0,544511668;54,45116681;113520;14;5833800;900;4387500;0,132238548;13,2238548;54240;38;531000;900;668700;0,046539459;0,126321388;0,538528023;7,878465528;19,49338475;0,325776212;0,106375906;3,689914234;0;0;0,119672894;0;0;0;0;13,51638854;86,48361146;100;0,652499758;0,494418522;49,4419;229080;31;9129600;900;8950500;0,117092907;11,7093;120420;94;531900;900;1071000;0,1181265;0,3839112;0,2303467;0;11,2042998;23,377237;0,3691454;0,2155809;2,4717973;0,006;0;0,4725061;0;12,5302793;87,4698716;100,0001509
C3c1;SESSENTA ;C3c;1;C;1;1;0;0,363636364;30,1369863;71,23287671;77,4;24;0,567163461;0,807435143;80,74351431;23700;1;2717100;2717100;2041200;0,031826692;3,182669163;4680;10;39600;900;13500;0,106980476;0;0;3,904787376;10,72479273;0;0;1,337255951;0;0;0;0;0;0;3,29;96,71;100,00;0,59364437;0,608305051;60,83050509;78900;13;5368500;900;6044400;0,059692553;5,96925534;27360;28;211500;900;199800;0,2262594;0;0;12,81692953;18,68636454;0,1131297;0;0,645504758;0;0,0066547;0;0,705396952;0;0;0;6,900911692;93,09908832;100;0,591244626;0,563929099;56,3929099;192660;27;7666200;900;11987100;0,088271787;8,82717873;87120;77;577800;900;765900;0,389955687;0,543574594;0;0,596750369;12,46381093;12,46381093;0,147710487;0;1,072378139;0;0,11816839;0,044313146;0;9,858197932;83,20236337;93,0605613
C3c2;SESSENTA ;C3c;2;C;3;3;1,099;0,363636364;30,1369863;71,23287671;77,4;24;0,567163461;0,807435143;80,74351431;23700;1;2717100;2717100;2041200;0,031826692;3,182669163;4680;10;39600;900;13500;0,106980476;0;0;3,904787376;10,72479273;0;0;1,337255951;0;0;0;0;0;0;3,29;96,71;100,00;0,59364437;0,608305051;60,83050509;78900;13;5368500;900;6044400;0,059692553;5,96925534;27360;28;211500;900;199800;0,2262594;0;0;12,81692953;18,68636454;0,1131297;0;0,645504758;0;0,0066547;0;0,705396952;0;0;0;6,900911692;93,09908832;100;0,591244626;0,563929099;56,3929099;192660;27;7666200;900;11987100;0,088271787;8,82717873;87120;77;577800;900;765900;0,389955687;0,543574594;0;0,596750369;12,46381093;12,46381093;0,147710487;0;1,072378139;0;0,11816839;0,044313146;0;9,858197932;83,20236337;93,0605613
C3c3;SESSENTA ;C3c;3;C;2;2;0,6931;0,363636364;30,1369863;71,23287671;77,4;24;0,567163461;0,807435143;80,74351431;23700;1;2717100;2717100;2041200;0,031826692;3,182669163;4680;10;39600;900;13500;0,106980476;0;0;3,904787376;10,72479273;0;0;1,337255951;0;0;0;0;0;0;3,29;96,71;100,00;0,59364437;0,608305051;60,83050509;78900;13;5368500;900;6044400;0,059692553;5,96925534;27360;28;211500;900;199800;0,2262594;0;0;12,81692953;18,68636454;0,1131297;0;0,645504758;0;0,0066547;0;0,705396952;0;0;0;6,900911692;93,09908832;100;0,591244626;0,563929099;56,3929099;192660;27;7666200;900;11987100;0,088271787;8,82717873;87120;77;577800;900;765900;0,389955687;0,543574594;0;0,596750369;12,46381093;12,46381093;0,147710487;0;1,072378139;0;0,11816839;0,044313146;0;9,858197932;83,20236337;93,0605613
C3c4;SESSENTA ;C3c;4;C;6;8;1,733;0,363636364;30,1369863;71,23287671;77,4;24;0,567163461;0,807435143;80,74351431;23700;1;2717100;2717100;2041200;0,031826692;3,182669163;4680;10;39600;900;13500;0,106980476;0;0;3,904787376;10,72479273;0;0;1,337255951;0;0;0;0;0;0;3,29;96,71;100,00;0,59364437;0,608305051;60,83050509;78900;13;5368500;900;6044400;0,059692553;5,96925534;27360;28;211500;900;199800;0,2262594;0;0;12,81692953;18,68636454;0,1131297;0;0,645504758;0;0,0066547;0;0,705396952;0;0;0;6,900911692;93,09908832;100;0,591244626;0,563929099;56,3929099;192660;27;7666200;900;11987100;0,088271787;8,82717873;87120;77;577800;900;765900;0,389955687;0,543574594;0;0,596750369;12,46381093;12,46381093;0,147710487;0;1,072378139;0;0,11816839;0,044313146;0;9,858197932;83,20236337;93,0605613
