;;;;;;;;;;;;;CAFÉ 1 KM;;;;;;;;FLORESTA 1KM;;;;;;;OUTRAS CULTURAS 1 KM;;;;;;;;;;;;;;;;;CAFÉ 2 KM;;;;;;;;FLORESTA 2KM;;;;;;;OUTRAS CULTURAS 2 KM;;;;;;;;;;;;;;;;;;CAFÉ 3 KM;;;;;;;;FLORESTA 3 KM;;;;;;;;;;;;;;;;;;;;;;
codigo;tratamentos;area;REP;COL;S;N;H;P;PRED;INF;UR;T;D_EV1;C1_LP;C1_LC  ;C1_EL ;C1_NP;C1_GP ;C1_SP ;C1_OC ;F1_LP;F1_LC;F1_EL;F1_NP;F1_GP;F1_SP;F1_OC;Fsa1_LC ;FCa1_LC ;S1_LC ;P1_LC ;MU1_LC ;NVeg1_LC ;So1_LC ;LT1_LC;Cit1_LC ;LP1_LC; d'Agua1_LC;AU1_LC;Rio1_LC;ROC1_LC; NA_1;AZ_1;TOTAL;D_EV2;C1_LP;C1_LC  ;C1_EL ;C1_NP;C1_GP ;C1_SP ;C1_OC ;F1_LP;F1_LC;F1_EL;F1_NP;F1_GP;F1_SP;F1_OC;Fsa2_LC ;FCa2_LC ;S2_LC ;P2_LC ;MU2_LC ;NVeg2_LC;So2_LC;LT2_LC ;LP2_LC ;Cit2_LC ;d'Agua2_LC;CAl2_LC;AU2_LC;Rio2_LC;ROC2_LC;NA_2;AZ_2;TOTAL;D_EV3;C3_LP;C3_LC;C3_EL;C3_NP;C3_GP;C3_SP;C3_OC;F3_LP;F3_LC;F3_EL;F3_NP;F3_GP;F3_SP;F3_OC;Fsa3_LC ;S3_LC ;FCa3_LC ;CAl3_LC ;P3_LC ;MU3_LC ;NVeg3_LC;So3_LC;LT3_LC ;LP3_LC;Cit3_LC;Rio3_LC;AU3_LC ;NA_3;AZ_3;TOTAL
C1c4;VINTE ;C1c;4;C;1;1;0;0,35483871;27,86885246;67,21311475;87,7;22,9;0,872166265;0,475392392;47,53923916;22800;1;1608300;1608300;961200;0,195264698;19,52646981;20820;10;343800;1800;164700;0;0;8,220271349;4,735301942;8,273476989;0,266028199;6,757116254;4,362862463;0,319233839;0;0;0,00;0,00;0,00;19,53;80,47;100,00;0,81719959;0,286454183;28,64541833;68580;10;3130200;900;2070000;0,178419655;17,84196547;71640;22;834300;8100;700200;0;0,803452855;5,312084993;4,767596282;13,25365206;0,26560425;18,8247012;9,94687915;0;0,338645418;0;0;0;0;0;18,64541833;81,35458167;100;0,755030665;0,188800047;18,8800047;120540;27;3432600;3600;2713500;0,163662113;16,36621131;142260;60;1154700;900;1613700;0;3,817897501;1,189036084;0;7,045702652;16,87664119;0,286194789;25,40052518;9,92830378;0;0,150473549;0,053108311;0;17,60835571;82,38574335;99,99409906
C2a1;QUARENTA ;C2a;1;A;14;16;2,599;0,413793103;50;47,05882353;85,7;21,8;0,711681404;0,592494011;59,24940112;25440;5;1938600;5400;1341000;0,1746074;17,46073995;14880;6;380700;10800;227700;0;0;1,171147192;9,502262443;8,064945435;0;1,064679265;3,486824594;0;0;0;0;0;0;17,46;82,54;100,00;0,840303372;0,336989033;33,69890329;83940;20;3124800;1800;2489400;0,207643735;20,76437355;64980;31;824400;900;1287900;0,053173812;0,033233632;6,972416085;12,34297109;16,10501828;0;5,144566301;4,885343968;0;0;0;0;0;0;0;20,85078099;79,14921901;100;0,817973914;0,302326268;30,23262679;169320;39;3530700;900;4935600;0,213851331;21,38513314;150780;61;1707300;900;2944800;0,215504517;5,833382535;0,121036783;0;13,36128004;17,34958966;0;7,613508886;3,873177068;0;0;0;0;21,72167444;78,26356498;99,98523942
C2a2;QUARENTA ;C2a;2;A;17;22;2,752;0,413793103;50;47,05882353;85,7;21,8;0,711681404;0,592494011;59,24940112;25440;5;1938600;5400;1341000;0,1746074;17,46073995;14880;6;380700;10800;227700;0;0;1,171147192;9,502262443;8,064945435;0;1,064679265;3,486824594;0;0;0;0;0;0;17,46;82,54;100,00;0,840303372;0,336989033;33,69890329;83940;20;3124800;1800;2489400;0,207643735;20,76437355;64980;31;824400;900;1287900;0,053173812;0,033233632;6,972416085;12,34297109;16,10501828;0;5,144566301;4,885343968;0;0;0;0;0;0;0;20,85078099;79,14921901;100;0,817973914;0,302326268;30,2326268;169320;39;3530700;900;4935600;0,213851331;21,38513314;150780;61;1707300;900;2944800;0,215504517;5,833382535;0,121036783;0;13,36128004;17,34958966;0;7,613508886;3,873177068;0;0;0;0;21,72167444;78,26356498;99,98523942
C2a3;QUARENTA ;C2a;3;A;2;2;0,6931;0,413793103;50;47,05882353;85,7;21,8;0,711681404;0,592494011;59,24940112;25440;5;1938600;5400;1341000;0,1746074;17,46073995;14880;6;380700;10800;227700;0;0;1,171147192;9,502262443;8,064945435;0;1,064679265;3,486824594;0;0;0;0;0;0;17,46;82,54;100,00;0,840303372;0,336989033;33,69890329;83940;20;3124800;1800;2489400;0,207643735;20,76437355;64980;31;824400;900;1287900;0,053173812;0,033233632;6,972416085;12,34297109;16,10501828;0;5,144566301;4,885343968;0;0;0;0;0;0;0;20,85078099;79,14921901;100;0,817973914;0,302326268;30,2326268;169320;39;3530700;900;4935600;0,213851331;21,38513314;150780;61;1707300;900;2944800;0,215504517;5,833382535;0,121036783;0;13,36128004;17,34958966;0;7,613508886;3,873177068;0;0;0;0;21,72167444;78,26356498;99,98523942
C2c1;QUARENTA ;C2c;1;C;8;11;2,02;0,258064516;48,42105263;51,57894737;81,2;22,6;0,517453279;0,83879563;83,87956302;17940;2;2826900;6300;2335500;0,039701572;3,970157208;6180;4;63900;6300;23400;0;0;0;1,012523315;4,716227018;0,266453504;0,02664535;6,128430589;0;0;0;0;0;0;3,97;96,03;100,00;0,659434718;0,45293061;45,29306101;62820;13;5013000;900;4454100;0,122480208;12,24802076;49560;34;225000;900;496800;0,931408423;0,033264587;0,153017098;7,843789502;19,08056683;0,146364181;4,550595436;7,524449471;0;0;0;1,097731355;1,097731355;0;0;14,31042512;85,68957488;100;0,686169511;0,375723568;37,57235676;136620;33;5886900;900;7807500;0,117838157;11,78381571;111180;86;288900;900;1034100;0,942114589;0,174246899;0,035440047;0;9,09037212;21,82516243;0,189013585;2,873597165;6,275841701;0;0,017720024;0,165386887;8,038984052;12,92675724;86,05729474;98,98405198
C2c2;QUARENTA ;C2c;2;C;7;8;1,906;0,258064516;48,42105263;51,57894737;81,2;22,6;0,517453279;0,83879563;83,87956302;17940;2;2826900;6300;2335500;0,039701572;3,970157208;6180;4;63900;6300;23400;0;0;0;1,012523315;4,716227018;0,266453504;0,02664535;6,128430589;0;0;0;0;0;0;3,97;96,03;100,00;0,659434718;0,45293061;45,29306101;62820;13;5013000;900;4454100;0,122480208;12,24802076;49560;34;225000;900;496800;0,931408423;0,033264587;0,153017098;7,843789502;19,08056683;0,146364181;4,550595436;7,524449471;0;0;0;1,097731355;1,097731355;0;0;14,31042512;85,68957488;100;0,686169511;0,375723568;37,5723568;136620;33;5886900;900;7807500;0,117838157;11,78381571;111180;86;288900;900;1034100;0,942114589;0,174246899;0,035440047;0;9,09037212;21,82516243;0,189013585;2,873597165;6,275841701;0;0,017720024;0,165386887;8,038984052;12,92675724;86,05729478;98,98405202
C2c3;QUARENTA ;C2c;3;C;9;13;2,138;0,258064516;48,42105263;51,57894737;81,2;22,6;0,517453279;0,83879563;83,87956302;17940;2;2826900;6300;2335500;0,039701572;3,970157208;6180;4;63900;6300;23400;0;0;0;1,012523315;4,716227018;0,266453504;0,02664535;6,128430589;0;0;0;0;0;0;3,97;96,03;100,00;0,659434718;0,45293061;45,29306101;62820;13;5013000;900;4454100;0,122480208;12,24802076;49560;34;225000;900;496800;0,931408423;0,033264587;0,153017098;7,843789502;19,08056683;0,146364181;4,550595436;7,524449471;0;0;0;1,097731355;1,097731355;0;0;14,31042512;85,68957488;100;0,686169511;0,375723568;37,5723568;136620;33;5886900;900;7807500;0,117838157;11,78381571;111180;86;288900;900;1034100;0,942114589;0,174246899;0,035440047;0;9,09037212;21,82516243;0,189013585;2,873597165;6,275841701;0;0,017720024;0,165386887;8,038984052;12,92675724;86,05729478;98,98405202
C2c4;QUARENTA ;C2c;4;C;13;16;2,48;0,258064516;48,42105263;51,57894737;81,2;22,6;0,517453279;0,83879563;83,87956302;17940;2;2826900;6300;2335500;0,039701572;3,970157208;6180;4;63900;6300;23400;0;0;0;1,012523315;4,716227018;0,266453504;0,02664535;6,128430589;0;0;0;0;0;0;3,97;96,03;100,00;0,659434718;0,45293061;45,29306101;62820;13;5013000;900;4454100;0,122480208;12,24802076;49560;34;225000;900;496800;0,931408423;0,033264587;0,153017098;7,843789502;19,08056683;0,146364181;4,550595436;7,524449471;0;0;0;1,097731355;1,097731355;0;0;14,31042512;85,68957488;100;0,686169511;0,375723568;37,5723568;136620;33;5886900;900;7807500;0,117838157;11,78381571;111180;86;288900;900;1034100;0,942114589;0,174246899;0,035440047;0;9,09037212;21,82516243;0,189013585;2,873597165;6,275841701;0;0,017720024;0,165386887;8,038984052;12,92675724;86,05729478;98,98405202
C3a1;SESSENTA ;C3a;1;A;7;8;1,906;0,214285714;58,46153846;40,76923077;78;23,6;0,710934526;0,568831863;56,88318631;32880;3;1890000;900;1053000;0,159315691;15,9315691;18240;14;252900;900;146700;0,40096231;0,374231489;0;2,004811548;18,6581128;0,989040364;0;4,758086073;0;0;0;0;0;0;16,71;83,29;100,00;0,74096887;0,448250632;44,82506319;109860;22;3692700;1800;3286800;0,136291074;13,62910736;63600;39;361800;1800;450900;0,219502461;0,844751896;0,372489025;10,11706798;25,47558867;0,372489025;0;4,037514966;0,0066516;0,099773846;0;0;0;0;0;14,69336171;85,3066383;100;0,748461053;0,434414127;43,44141271;219540;45;5689800;900;7612200;0,117056461;11,70564611;127260;74;361800;900;760500;0,301204819;0,236239074;1,886959603;0;11,98322703;26,34360973;0,301204819;0;3,735530357;0,020670919;0,044294826;0;0;13,89381054;86,10618946;100
C3a2;SESSENTA ;C3a;2;A;6;6;1,792;0,214285714;58,46153846;40,76923077;78;23,6;0,710934526;0,568831863;56,8831863;32880;3;1890000;900;1053000;0,159315691;15,9315691;18240;14;252900;900;146700;0,40096231;0,374231489;0;2,004811548;18,6581128;0,989040364;0;4,758086073;0;0;0;0;0;0;16,71;83,29;100,00;0,74096887;0,448250632;44,8250632;109860;22;3692700;1800;3286800;0,136291074;13,62910736;63600;39;361800;1800;450900;0,219502461;0,844751896;0,372489025;10,11706798;25,47558867;0,372489025;0;4,037514966;0,0066516;0,099773846;0;0;0;0;0;14,69336171;85,30663831;100;0,748461053;0,434414127;43,44141271;219540;45;5689800;900;7612200;0,117056461;11,70564611;127260;74;361800;900;760500;0,301204819;0,236239074;1,886959603;0;11,98322703;26,34360973;0,301204819;0;3,735530357;0,020670919;0,044294826;0;0;13,89381054;86,10618946;100
